# OSU MPI Bi-Directional Bandwidth Test v5.7
# Size      Bandwidth (MB/s)
1                       4.55
2                       9.81
4                      19.20
8                      37.79
16                     73.25
32                    147.25
64                    298.47
128                   564.53
256                   892.27
512                  1608.28
1024                 2653.01
2048                 4244.79
4096                 6494.40
8192                 8632.45
16384               10044.52
32768               11846.10
65536               13223.15
131072              14105.61
262144              18442.20
524288              20784.96
1048576             20378.94
2097152             21017.78
4194304             20802.93
